month,revenue,cogs,opex,cash_balance,customers,new_customers,churned_customers,cac_spend
2025-01,18000,4500,32000,480000,120,15,3,4500
2025-02,21000,5200,33000,455000,131,14,3,4200
2025-03,24500,6100,34500,428000,140,12,3,4300
2025-04,27800,6800,35000,400000,148,11,3,4000
2025-05,31200,7500,36500,371000,156,11,3,4100
2025-06,35600,8700,38000,340500,166,13,3,4400
2025-07,39900,9600,39500,308500,177,14,3,4600
2025-08,44100,10500,41000,275000,188,14,3,4700
2025-09,49500,11800,43000,239000,201,16,3,5000
2025-10,54800,13000,45000,200500,215,17,3,5200
2025-11,60200,14300,47500,159500,229,17,3,5300
2025-12,66500,15800,50000,115500,244,18,4,5500
